,timestamp,gender,education_qualifications,current_occupation,political_view,device,news_source,concerned_about_consequences,share_type,age,gender_norm,education_qualifications_norm,political_view_norm,minute_per_day,post_per_day,share_per_week,importance_to_let_other_know,motivated_to_share,urgency,verification_importance,trustworthiness,verification_level,outcome,personal_interest,political_interest,concerned_about_consequences_norm
56,11/13/2018 3:33,male,bachelors,student,neutral,smartphone,From newsfeed posted by others,Yes,personal,24,1,3,1,300,2,2,4,5,3,6,4,7,5,5,3,3
57,11/13/2018 6:49,male,hsc,student,neutral,both,"From newsfeed posted by others,From newsfeed shared by others",Yes,"educational,awareness,entertainment",20,1,2,1,180,0,2,6,3,5,6,7,5,5,1,2,3
58,11/13/2018 8:07,male,hsc,student,not interested,smartphone,From newsfeed posted by others,Maybe,"educational,personal",19,1,2,0,60,0,0,4,2,3,7,6,6,5,2,1,2
59,11/13/2018 8:51,male,hsc,student,neutral,smartphone,"From newsfeed posted by others,From newsfeed shared by others",Maybe,"scientific,entertainment",19,1,2,1,150,1,4,4,4,3,6,6,6,4,4,4,2
60,11/13/2018 9:00,male,hsc,student,right wing,smartphone,From news portal website,Yes,news,21,1,2,1,200,2,2,5,4,3,7,6,6,5,4,6,3
61,11/13/2018 9:13,male,bachelors,student,liberal,smartphone,From newsfeed posted by others,Yes,informative,24,1,3,1,150,1,2,5,7,4,7,7,7,5,7,5,3
62,11/13/2018 10:19,male,hsc,student,not interested,both,"From news portal website,From newsfeed posted by others",Yes,"educational,entertainment,personal",21,1,2,0,80,2,0,5,3,3,3,4,1,4,2,1,3
63,11/13/2018 10:24,male,ssc,student,not interested,smartphone,From news portal website,Yes,entertainment,18,1,1,0,120,0,2,3,3,3,7,6,7,6,5,4,3
64,11/13/2018 11:25,female,masters,unemployed,not interested,both,"From news portal website,From newsfeed shared by others",No,"entertainment,political,educational",26,2,4,0,180,1,4,1,5,4,7,6,7,4,1,1,1
65,11/13/2018 11:43,female,bachelors,student,liberal,smartphone,From news portal website,Yes,,20,2,3,1,200,1,0,1,1,1,7,2,7,4,1,2,3
